,NAME,AWND,PRCP,SNOW,SNWD,TMAX,TMIN,DATEday
4017,"NY CITY CENTRAL PARK, NY US",8.5,0.0,0.0,0.0,41,34,0
4018,"NY CITY CENTRAL PARK, NY US",5.37,0.0,0.0,0.0,49,33,1
4019,"NY CITY CENTRAL PARK, NY US",3.36,0.15,0.0,0.0,49,44,2
4020,"NY CITY CENTRAL PARK, NY US",4.47,0.27,0.0,0.0,51,41,3
4021,"NY CITY CENTRAL PARK, NY US",11.41,0.0,0.0,0.0,42,35,4
4022,"NY CITY CENTRAL PARK, NY US",6.04,0.04,0.2,0.0,45,32,5
4023,"NY CITY CENTRAL PARK, NY US",5.14,0.0,0.0,0.0,45,36,6
4024,"NY CITY CENTRAL PARK, NY US",9.62,0.0,0.0,0.0,42,28,7
4025,"NY CITY CENTRAL PARK, NY US",4.47,0.0,0.0,0.0,34,23,8
4026,"NY CITY CENTRAL PARK, NY US",6.26,0.0,0.0,0.0,55,33,9
4027,"NY CITY CENTRAL PARK, NY US",5.37,0.0,0.0,0.0,69,51,10
4028,"NY CITY CENTRAL PARK, NY US",8.72,0.05,0.0,0.0,68,43,11
4029,"NY CITY CENTRAL PARK, NY US",4.47,0.0,0.0,0.0,46,37,12
4030,"NY CITY CENTRAL PARK, NY US",3.8,0.07,0.0,0.0,46,39,13
4031,"NY CITY CENTRAL PARK, NY US",5.14,0.0,0.0,0.0,50,41,14
4032,"NY CITY CENTRAL PARK, NY US",10.29,0.11,0.0,0.0,49,33,15
4033,"NY CITY CENTRAL PARK, NY US",10.74,0.0,0.0,0.0,33,21,16
4034,"NY CITY CENTRAL PARK, NY US",4.92,0.37,2.1,0.0,37,20,17
4035,"NY CITY CENTRAL PARK, NY US",8.95,0.0,0.0,1.2,43,27,18
4036,"NY CITY CENTRAL PARK, NY US",7.83,0.0,0.0,0.0,31,20,19
4037,"NY CITY CENTRAL PARK, NY US",4.25,0.0,0.0,0.0,33,20,20
4038,"NY CITY CENTRAL PARK, NY US",,0.0,0.0,0.0,38,25,21
4039,"NY CITY CENTRAL PARK, NY US",,0.0,0.0,0.0,47,33,22
4040,"NY CITY CENTRAL PARK, NY US",,0.0,0.0,0.0,51,37,23
4041,"NY CITY CENTRAL PARK, NY US",,0.85,0.0,0.0,51,38,24
4042,"NY CITY CENTRAL PARK, NY US",,0.0,0.0,0.0,46,38,25
4043,"NY CITY CENTRAL PARK, NY US",6.26,0.0,0.0,0.0,45,37,26
4044,"NY CITY CENTRAL PARK, NY US",8.5,0.0,0.0,0.0,43,37,27
4045,"NY CITY CENTRAL PARK, NY US",6.71,0.0,0.0,0.0,41,31,28
4046,"NY CITY CENTRAL PARK, NY US",4.25,0.0,0.0,0.0,38,25,29
4047,"NY CITY CENTRAL PARK, NY US",3.8,0.02,0.0,0.0,44,33,30
